Player,MP,FG,FGA,3P,3PA,FT,FTA,TRB,AST,STL,BLK,TOV,PTS,Pos,height in inches,weight,3Pper min,FTper min,TRBper min,ASTper min,STLper min,BLKper min,TOVper min,PTSper min,3P per min,FT per min,TRB per min,AST per min,STL per min,BLK per min,TOV per min,PTS per min,FG%,3P%,FT%
Ben Gordon,20366.0,3931.0,9092.0,1171.0,2921.0,2051.0,2394.0,1851.0,1868.0,508.0,114.0,1551.0,11084.0,SG,75,200.0,0.05749779043503879,0.10070706078758715,0.0908867720710989,0.0917214966120004,0.024943533339880194,0.005597564568398311,0.0761563389963665,0.5442404006677797,0.05749779043503879,0.10070706078758715,0.0908867720710989,0.0917214966120004,0.024943533339880194,0.005597564568398311,0.0761563389963665,0.5442404006677797,0.4323581170259569,0.4008901061280383,0.8567251461988304
Ben Handlogten,469.0,68.0,130.0,0.0,1.0,27.0,44.0,120.0,19.0,10.0,9.0,28.0,163.0,C,82,240.0,0.0,0.057569296375266525,0.255863539445629,0.04051172707889126,0.021321961620469083,0.019189765458422176,0.05970149253731343,0.34754797441364604,0.0,0.057569296375266525,0.255863539445629,0.04051172707889126,0.021321961620469083,0.019189765458422176,0.05970149253731343,0.34754797441364604,0.5230769230769231,0.0,0.6136363636363636
Ben Hansbrough,200.0,15.0,45.0,6.0,23.0,21.0,27.0,18.0,21.0,7.0,2.0,18.0,57.0,PG,75,203.0,0.03,0.105,0.09,0.105,0.035,0.01,0.09,0.285,0.03,0.105,0.09,0.105,0.035,0.01,0.09,0.285,0.3333333333333333,0.2608695652173913,0.7777777777777778
Ben McDonald,3692.0,463.0,989.0,10.0,44.0,125.0,172.0,568.0,236.0,77.0,17.0,149.0,1061.0,PF,80,210.0,0.0027085590465872156,0.033856988082340195,0.15384615384615385,0.06392199349945829,0.02085590465872156,0.004604550379198266,0.04035752979414951,0.2873781148429036,0.0027085590465872156,0.033856988082340195,0.15384615384615385,0.06392199349945829,0.02085590465872156,0.004604550379198266,0.04035752979414951,0.2873781148429036,0.46814964610717896,0.22727272727272727,0.7267441860465116
Ben McLemore,7476.0,993.0,2384.0,367.0,1043.0,389.0,499.0,754.0,352.0,203.0,53.0,395.0,2742.0,SG,77,195.0,0.0490904226859283,0.05203317281968967,0.10085607276618512,0.047084002140181914,0.027153558052434457,0.007089352594970572,0.05283574103798823,0.3667736757624398,0.0490904226859283,0.05203317281968967,0.10085607276618512,0.047084002140181914,0.027153558052434457,0.007089352594970572,0.05283574103798823,0.3667736757624398,0.4165268456375839,0.35186960690316393,0.779559118236473
Ben Poquette,14404.0,1744.0,3525.0,13.0,63.0,823.0,1050.0,3351.0,830.0,345.0,708.0,602.0,4324.0,PF,81,235.0,0.0009025270758122744,0.05713690641488475,0.2326437100805332,0.05762288253262982,0.023951680088864204,0.04915301305193002,0.04179394612607609,0.300194390447098,0.0009025270758122744,0.05713690641488475,0.2326437100805332,0.05762288253262982,0.023951680088864204,0.04915301305193002,0.04179394612607609,0.300194390447098,0.4947517730496454,0.20634920634920634,0.7838095238095238
Ben Uzoh,1178.0,131.0,342.0,3.0,10.0,55.0,94.0,195.0,191.0,47.0,14.0,63.0,320.0,PG,75,205.0,0.0025466893039049238,0.0466893039049236,0.16553480475382004,0.16213921901528014,0.039898132427843805,0.011884550084889643,0.053480475382003394,0.27164685908319186,0.0025466893039049238,0.0466893039049236,0.16553480475382004,0.16213921901528014,0.039898132427843805,0.011884550084889643,0.053480475382003394,0.27164685908319186,0.3830409356725146,0.3,0.5851063829787234
Ben Wallace,34290.0,2707.0,5773.0,7.0,55.0,1181.0,2848.0,11086.0,1542.0,1457.0,2254.0,1128.0,6602.0,C,81,240.0,0.00020414114902303878,0.03444152814231555,0.32330125400991544,0.044969378827646546,0.042490522018081074,0.0657334499854185,0.03289588801399825,0.19253426655001457,0.00020414114902303878,0.03444152814231555,0.32330125400991544,0.044969378827646546,0.042490522018081074,0.0657334499854185,0.03289588801399825,0.19253426655001457,0.46890698077256193,0.12727272727272726,0.41467696629213485
Beno Udrih,20992.0,3114.0,6774.0,533.0,1522.0,1134.0,1362.0,1984.0,3392.0,654.0,79.0,1388.0,7895.0,PG,75,205.0,0.025390625,0.054020579268292686,0.09451219512195122,0.16158536585365854,0.031154725609756097,0.003763338414634146,0.06612042682926829,0.3760956554878049,0.025390625,0.054020579268292686,0.09451219512195122,0.16158536585365854,0.031154725609756097,0.003763338414634146,0.06612042682926829,0.3760956554878049,0.45969884853852966,0.35019710906701706,0.8325991189427313
Benoit Benjamin,26797.0,4401.0,8863.0,1.0,24.0,2465.0,3430.0,7534.0,1275.0,652.0,1859.0,2304.0,11268.0,C,84,250.0,3.7317610180244055e-05,0.0919879090943016,0.2811508750979587,0.04757995297981117,0.024331081837519124,0.0693734373250737,0.08597977385528231,0.42049483151099004,3.7317610180244055e-05,0.0919879090943016,0.2811508750979587,0.04757995297981117,0.024331081837519124,0.0693734373250737,0.08597977385528231,0.42049483151099004,0.4965587272932416,0.041666666666666664,0.7186588921282799
Bernard James,761.0,76.0,153.0,0.0,3.0,51.0,75.0,212.0,13.0,17.0,61.0,34.0,203.0,C,82,240.0,0.0,0.06701708278580815,0.278580814717477,0.017082785808147174,0.022339027595269383,0.08015768725361366,0.04467805519053877,0.266754270696452,0.0,0.06701708278580815,0.278580814717477,0.017082785808147174,0.022339027595269383,0.08015768725361366,0.04467805519053877,0.266754270696452,0.49673202614379086,0.0,0.68
Bernard King,23466.0,6322.0,12085.0,23.0,134.0,3310.0,4363.0,3640.0,2375.0,626.0,155.0,2157.0,15977.0,SF,79,205.0,0.000980141481292082,0.14105514361203444,0.15511804312622518,0.10121026165516066,0.026676894229949715,0.00660530128696838,0.09192022500639223,0.6808574107218955,0.000980141481292082,0.14105514361203444,0.15511804312622518,0.10121026165516066,0.026676894229949715,0.00660530128696838,0.09192022500639223,0.6808574107218955,0.5231278444352503,0.17164179104477612,0.7586523034609214
